ID,spot_name,spot_location,spot_latitude,spot_longitude,spot_type,nearest_station,when_build,open,close,rating_5Lv,history,culture,nature,religion,amusement,stay_time
1,武蔵国分寺跡,国分寺,35.69243236,139.4718462,寺社,国分寺,750,24,24,3,1,1,0,1,0,10
2,都立武蔵国分寺公園,国分寺,35.69761471,139.4719563,公園,西国分寺,2002,24,24,3,0,0,1,0,1,30
3,お鷹の道・真姿の池湧水群,国分寺,35.69417522,139.4737682,自然,国分寺,847,24,24,5,0,0,1,0,0,30
4,武蔵国分寺,国分寺,35.69390509,139.4721374,寺社,国分寺,1333,24,24,4,1,1,0,1,0,15
5,都立小金井公園,小金井,35.71674777,139.5169379,公園,小金井,1954,24,24,5,0,0,1,0,1,60
6,江戸東京たてもの園,小金井,35.71566643,139.5125658,博物館,小金井,1993,9,16,3,1,1,0,0,1,45
7,けやき公園,国分寺,35.71108154,139.4745652,公園,国分寺,1980,24,24,5,0,0,1,0,1,40
8,昭和記念公園,立川,35.71165859,139.397185,公園,立川,1983,24,24,5,0,0,1,0,1,70
9,玉川上水緑道,国分寺・小金井・小平・立川,35.72976938,139.4291639,遊歩道,国分寺・小金井,1653,24,24,4,0,0,1,0,1,30
10,谷保天満宮,国立,35.68010551,139.4441298,寺社,国立,903,24,24,4,1,1,0,1,0,20
